action_budget,candidate_policy_id,baseline_policy_id,metric,patient_count,mean_difference,bootstrap_95_lower,bootstrap_95_upper,wins,ties,losses,preferred_direction,candidate_better_count,candidate_same_count,candidate_worse_count,two_sided_exact_sign_test_p
1,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
2,clarifytrial_rule_v1,random_order_expectation,trial_status_recovery,30,0.015555555555555555,0.0,0.03333333333333334,3,27,0,higher,3,27,0,0.25
2,clarifytrial_rule_v1,random_order_expectation,confirmed_rescue_count,30,0.07777777777777778,0.0,0.16666666666666669,3,27,0,higher,3,27,0,0.25
2,clarifytrial_rule_v1,random_order_expectation,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
2,clarifytrial_rule_v1,random_order_expectation,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
2,clarifytrial_rule_v1,authored_order,trial_status_recovery,30,0.013333333333333334,0.0,0.04,1,29,0,higher,1,29,0,1.0
2,clarifytrial_rule_v1,authored_order,confirmed_rescue_count,30,0.06666666666666667,0.0,0.2,1,29,0,higher,1,29,0,1.0
2,clarifytrial_rule_v1,authored_order,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
2,clarifytrial_rule_v1,authored_order,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
2,clarifytrial_exact_coverage_v3,random_order_expectation,trial_status_recovery,30,0.015555555555555555,0.0,0.03333333333333334,3,27,0,higher,3,27,0,0.25
2,clarifytrial_exact_coverage_v3,random_order_expectation,confirmed_rescue_count,30,0.07777777777777778,0.0,0.16666666666666669,3,27,0,higher,3,27,0,0.25
2,clarifytrial_exact_coverage_v3,random_order_expectation,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
2,clarifytrial_exact_coverage_v3,random_order_expectation,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,trial_status_recovery,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,confirmed_rescue_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
2,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
3,clarifytrial_rule_v1,random_order_expectation,trial_status_recovery,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
3,clarifytrial_rule_v1,random_order_expectation,confirmed_rescue_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
3,clarifytrial_rule_v1,random_order_expectation,ineligible_cleanup_count,30,0.0,0.0,0.0,0,30,0,higher,0,30,0,1.0
3,clarifytrial_rule_v1,random_order_expectation,action_count,30,0.0,0.0,0.0,0,30,0,lower,0,30,0,1.0
