split,action_budget,policy_id,patient_count,trial_count,mean_trial_status_recovery,mean_candidate_status_recovery,mean_confirmation_status_recovery,mean_final_status_matches_out_of_five,rescue_opportunity_count,confirmed_rescue_count,confirmed_rescue_rate,cleanup_opportunity_count,ineligible_cleanup_count,ineligible_cleanup_rate,mean_action_count,total_unsafe_decisions,mean_affected_trials,mean_shared_fact_fraction_ge2
heldout,2,random_order_expectation,30,150,0.6118888888888889,0.8475555555555556,0.6118888888888889,3.0594444444444444,54.0,18.65,0.3453703703703703,68.0,45.13333333333333,0.6637254901960784,1.7922222222222222,0.0,2.3066666666666666,0.37333333333333335
heldout,3,authored_order,30,150,0.9400000000000001,1.0,0.9400000000000001,4.7,54.0,45.0,0.8333333333333334,68.0,68.0,1.0,2.0,0.0,2.3066666666666666,0.37333333333333335
heldout,3,clarifytrial_exact_coverage_v3,30,150,0.9533333333333334,1.0,0.9533333333333334,4.766666666666667,54.0,47.0,0.8703703703703703,68.0,68.0,1.0,1.8333333333333333,0.0,2.3066666666666666,0.37333333333333335
heldout,3,clarifytrial_rule_v1,30,150,0.9533333333333334,1.0,0.9533333333333334,4.766666666666667,54.0,47.0,0.8703703703703703,68.0,68.0,1.0,1.8333333333333333,0.0,2.3066666666666666,0.37333333333333335
heldout,3,no_questions,30,150,0.18666666666666668,0.5466666666666666,0.18666666666666668,0.9333333333333333,54.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,2.3066666666666666,0.37333333333333335
heldout,3,random_order_expectation,30,150,0.8334444444444444,0.9447777777777778,0.8334444444444444,4.167222222222223,54.0,37.3,0.6907407407407407,68.0,59.71666666666667,0.8781862745098039,2.357222222222222,0.0,2.3066666666666666,0.37333333333333335
heldout,4,authored_order,30,150,0.9933333333333333,1.0,0.9933333333333333,4.966666666666667,54.0,53.0,0.9814814814814815,68.0,68.0,1.0,2.2,0.0,2.3066666666666666,0.37333333333333335
heldout,4,clarifytrial_exact_coverage_v3,30,150,0.9933333333333333,1.0,0.9933333333333333,4.966666666666667,54.0,53.0,0.9814814814814815,68.0,68.0,1.0,2.033333333333333,0.0,2.3066666666666666,0.37333333333333335
heldout,4,clarifytrial_rule_v1,30,150,0.9933333333333333,1.0,0.9933333333333333,4.966666666666667,54.0,53.0,0.9814814814814815,68.0,68.0,1.0,2.033333333333333,0.0,2.3066666666666666,0.37333333333333335
heldout,4,no_questions,30,150,0.18666666666666668,0.5466666666666666,0.18666666666666668,0.9333333333333333,54.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,2.3066666666666666,0.37333333333333335
heldout,4,random_order_expectation,30,150,0.9274444444444444,0.976,0.9274444444444444,4.637222222222222,54.0,46.71666666666667,0.8651234567901235,68.0,64.4,0.9470588235294118,2.6372222222222224,0.0,2.3066666666666666,0.37333333333333335
heldout,5,authored_order,30,150,1.0,1.0,1.0,5.0,54.0,54.0,1.0,68.0,68.0,1.0,2.2333333333333334,0.0,2.3066666666666666,0.37333333333333335
heldout,5,clarifytrial_exact_coverage_v3,30,150,1.0,1.0,1.0,5.0,54.0,54.0,1.0,68.0,68.0,1.0,2.066666666666667,0.0,2.3066666666666666,0.37333333333333335
heldout,5,clarifytrial_rule_v1,30,150,1.0,1.0,1.0,5.0,54.0,54.0,1.0,68.0,68.0,1.0,2.066666666666667,0.0,2.3066666666666666,0.37333333333333335
heldout,5,no_questions,30,150,0.18666666666666668,0.5466666666666666,0.18666666666666668,0.9333333333333333,54.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,2.3066666666666666,0.37333333333333335
heldout,5,random_order_expectation,30,150,1.0,1.0,1.0,5.0,54.0,54.0,1.0,68.0,68.0,1.0,2.77,0.0,2.3066666666666666,0.37333333333333335
